PK_CALZADA,ACCIDENTES
91012420.0,4
221100.0,4
91014013.0,4
91030150.0,4
91027080.0,4
91030893.0,4
902174.0,4
91033828.0,4
91024724.0,4
91034751.0,4
458925.0,4
91012676.0,4
444173.0,4
91013076.0,4
471415.0,4
242640.0,4
91035035.0,4
441267.0,4
369074.0,4
513534.0,4
504907.0,4
174963.0,4
364103.0,4
518456.0,4
214930.0,4
144898.0,4
522103.0,4
91033135.0,4
506820.0,4
234371.0,4
91025361.0,4
185329.0,4
416960.0,4
91024691.0,4
50013247.0,4
504067.0,4
91018461.0,4
505549.0,4
390196.0,4
150169.0,4
91025163.0,4
91027192.0,4
91014014.0,4
91026567.0,4
91012720.0,4
140661.0,4
382408.0,4
505236.0,4
602257.0,4
24120068.0,4
904010.0,4
91013267.0,4
24120017.0,4
904013.0,4
522580.0,4
223346.0,4
515251.0,4
24122780.0,4
508789.0,4
17023.0,4
91027297.0,4
531333.0,4
904504.0,4
91027002.0,4
2506315.0,4
24121503.0,4
141491.0,4
159196.0,4
24123558.0,4
606187.0,4
24120465.0,4
91013067.0,4
323729.0,4
91013940.0,4
413241.0,4
181008.0,4
50015471.0,4
146669.0,4
152556.0,4
91032587.0,4
24120357.0,4
900033.0,4
175728.0,4
602100.0,4
515821.0,4
91012633.0,4
24119741.0,4
91024926.0,4
444850.0,4
529183.0,4
91021090.0,4
91026973.0,4
471436.0,4
178752.0,4
513941.0,4
146663.0,4
189775.0,4
188092.0,4
323779.0,4
527628.0,4
414371.0,4
522592.0,4
530472.0,4
413936.0,4
24122695.0,4
472866.0,4
209900.0,4
91012704.0,4
91024171.0,4
511864.0,4
91034579.0,4
513542.0,4
146912.0,4
91026863.0,4
184697.0,4
91014000.0,4
91026442.0,4
602427.0,4
91030662.0,4
24122336.0,4
201358.0,4
91030166.0,4
370023.0,4
24121887.0,4
91024235.0,4
91034040.0,4
512111.0,4
513906.0,4
201495.0,4
91013275.0,4
903355.0,4
151036.0,4
91027296.0,4
602089.0,4
24121614.0,4
91029411.0,4
91033141.0,4
185021.0,4
91024592.0,4
91026763.0,4
24119945.0,4
518663.0,4
357270.0,4
91033204.0,4
516201.0,4
368181.0,4
503922.0,4
91011621.0,4
24121340.0,4
158920.0,4
91026036.0,4
91028954.0,4
154888.0,4
517034.0,4
524778.0,4
473591.0,4
502776.0,4
323237.0,4
186819.0,4
515533.0,4
152205.0,4
24122320.0,4
601519.0,4
172080.0,4
146275.0,4
158797.0,4
184627.0,4
603630.0,4
510633.0,4
178720.0,4
24121926.0,4
360074.0,4
91032933.0,4
189709.0,4
513399.0,4
522265.0,4
514874.0,4
24124539.0,4
91024050.0,4
24124295.0,4
158904.0,4
156684.0,4
452962.0,4
138087.0,4
514836.0,4
91026707.0,4
521358.0,4
412651.0,4
91029959.0,4
91026214.0,4
91013680.0,4
91026037.0,4
324093.0,4
523337.0,4
155445.0,4
24119962.0,4
24122056.0,4
142710.0,4
602343.0,4
24122258.0,4
388267.0,4
523211.0,4
187120.0,4
91029105.0,4
91029485.0,4
91033264.0,4
143950.0,4
384629.0,4
2517863.0,4
352143.0,4
472139.0,4
367145.0,4
91062679.0,4
411702.0,4
415150.0,4
165398.0,4
513988.0,4
145461.0,4
507205.0,4
147119.0,4
171209.0,4
91025258.0,4
901669.0,4
524088.0,4
24120971.0,4
601480.0,4
511317.0,4
91024472.0,4
143882.0,4
513492.0,4
383946.0,4
359469.0,4
142714.0,4
141737.0,4
24120500.0,4
515332.0,4
523770.0,4
24122356.0,4
322529.0,4
471526.0,4
24120964.0,4
24120077.0,4
505124.0,4
515512.0,4
515461.0,4
91025156.0,4
353041.0,4
511655.0,4
509116.0,4
91026829.0,4
91032575.0,4
189758.0,4
355295.0,4
91063713.0,4
188418.0,4
24122020.0,4
510251.0,4
91014298.0,4
603022.0,4
525118.0,4
364297.0,4
24123222.0,4
603113.0,4
356781.0,4
524895.0,4
605629.0,4
385882.0,4
156971.0,4
24120140.0,4
511090.0,4
352663.0,4
24124332.0,4
523946.0,4
510374.0,4
369383.0,4
91030940.0,4
153045.0,4
24120161.0,4
531041.0,4
176145.0,4
154503.0,4
510938.0,4
517952.0,4
511988.0,4
509286.0,4
903421.0,4
524608.0,4
356404.0,4
415367.0,4
24122103.0,4
161679.0,4
187933.0,4
510548.0,4
383911.0,4
91010623.0,4
188441.0,4
386752.0,4
91010189.0,4
153231.0,4
521835.0,4
160306.0,4
91026217.0,4
511670.0,4
91064028.0,4
160907.0,4
91030409.0,4
504090.0,4
357330.0,4
511487.0,4
91027000.0,4
91018909.0,4
91013372.0,4
91017622.0,4
141243.0,4
362796.0,4
384566.0,4
382493.0,4
24120122.0,4
452084.0,4
91013053.0,4
91013964.0,4
511422.0,4
524252.0,4
382122.0,4
390198.0,4
509245.0,4
152638.0,4
