BARRIO,ACCIDENTES
SAN JOSE V SECTOR,8
ARBORIZADORA ALTA  II,8
ALTAMIRA,8
BUENAVISTA,8
MEISSEN,8
LA FLORIDA OCCIDENTAL,8
LOS LIBERTADORES,8
SANTA ISABEL,8
NARINO SUR,8
SAN CRISTOBAL SUR,8
SAN JUAN BAUTISTA,7
SANTIAGO PEREZ,7
TUNA ALTA,7
NUEVA GRANADA BOSA,7
PATIO BONITO III,7
GRAN BRITALIA,7
MONTES,7
SAN ANTONIO URBANO,7
EL ROCIO,7
TUNA BAJA,7
ALQUERIA LA FRAGUA,7
VEREDA SUBA NARANJOS,7
NUEVO SAN ANDRES,7
CAPELLANIA,7
BELLAVISTA,7
SAN MARTIN SUR,7
QUIBA URBANO,7
CASA DE TEJA,7
ALTOS DE SUBA,7
CANADA O GUIRA,7
PARAMO III RURAL,7
BILBAO,6
LA FISCALA NORTE,6
CIUDAD BACHUE II,6
JERUSALEN,6
LAS LOMAS,6
SAN BLAS,6
LOS ARRAYANES II,6
CENTRO NARINO,6
BELLA SUIZA,6
SAN RAFAEL,6
EL REDIL,6
QUINTA RAMOS,6
SAN BERNARDINO XXV,6
CENTRO ADMINISTRATIVO OCC.,6
ATAHUALPA,6
LUCERO DEL SUR,6
EL PINAR,6
LA CECILIA,6
LAS GUACAMAYAS II,6
BELLA FLOR SUR,6
EL CHANCO RURAL III,6
LAS FERIAS OCCIDENTAL,6
GIRARDOT,6
LA ORQUIDEA DE USME,6
VILLA ANNY I,6
JUAN REY SUR,6
BOSQUE DE PINOS I,6
JORGE GAITAN CORTES,6
CARACOLI,6
TIBABUYES OCCIDENTAL,6
LA VICTORIA,6
IRAGUA,6
LA PICOTA ORIENTAL,6
EL UVAL RURAL,5
LA PAMPA,5
BOLONIA I,5
JUAN REY (LA PAZ),5
LA COMUNA,5
VILLA ANNY II,5
LOS ALPES,5
TORCA RURAL II,5
EL CHARCO,5
BOITA,5
EL CEREZO,5
VILLA ANITA,5
SURAMERICA,5
MARIA CANO,5
SANTA ANA,5
CATALUNA,5
ALFONSO LOPEZ,5
ZONA FRANCA,5
CENTRO USME RURAL,5
BOSQUE DE MODELIA,5
TERMINAL DE TRANSPORTES,5
LOS MOLINOS,5
BARCELONA,5
CANDELARIA LA NUEVA,5
ARBORIZADORA ALTA I,5
PARAMO URBANO,5
RAFAEL NUNEZ,4
QUIRIGUA ORIENTAL,4
LA MACARENA,4
SAN LUIS ALTOS DEL CABO RURAL II,4
RAMAJAL,4
EL SALITRE,4
SANTA RITA SUR ORIENTAL,4
VILLA GLORIA,4
CALVO SUR,4
EL SATELITE,4
USMINIA,4
GIBRALTAR SUR,4
EL CORZO I,4
ARMENIA,4
LAGUNITAS,4
VILLA MARIA I,4
PAULO VI,4
ATLANTA,4
SAN GABRIEL NORTE,4
EMAUS,4
LA REFORMA,4
LA PERSEVERANCIA,4
SANTA INES SUR II,4
SANTA LIBRADA,4
EL DANUBIO AZUL,4
CORABASTOS,4
GINEBRA,4
VILLABEL,4
DESARROLLO BRAZUELOS,4
MORALBA,4
BELEN,4
EGIPTO,4
CENTRO ENGATIVA II,4
LA FAENA,4
SUBA CERROS,3
LOS NARANJOS,3
SANTA INES SUR,3
LA BELLEZA,3
VITELMA,3
COUNTRY CLUB,3
LAS MERCEDES,3
